west,east,nova,newf
358,871,67,149
188,374,30,101
187,269,14,95
185,167,14,89
159,164,13,86
112,118,11,55
105,82,11,48
88,80,11,45
64,71,9,40
59,70,9,34
41,54,8,28
40,48,8,28
37,41,8,25
37,40,7,24
35,33,6,21
32,27,6,20
25,27,6,17
25,26,6,13
25,25,5,13
23,24,5,11
22,17,5,11
20,14,4,9
20,13,4,9
19,13,4,9
18,12,4,8
18,12,4,7
18,12,3,6
16,12,3,6
14,11,3,6
14,10,3,6
14,10,3,6
14,10,2,6
13,8,2,5
12,8,2,5
12,7,1,5
11,7,1,5
10,6,1,4
10,6,,4
10,6,,4
9,5,,3
9,5,,3
8,5,,3
8,5,,3
8,4,,2
7,4,,2
7,4,,2
7,4,,2
7,4,,1
7,4,,1
7,4,,1
6,4,,1
6,4,,1
6,4,,1
5,4,,
5,3,,
5,3,,
5,3,,
5,3,,
4,3,,
4,3,,
4,3,,
4,3,,
4,3,,
4,3,,
4,2,,
4,2,,
3,2,,
3,2,,
3,2,,
3,2,,
3,2,,
3,2,,
3,2,,
3,2,,
3,2,,
3,2,,
3,2,,
3,2,,
3,2,,
3,2,,
2,1,,
2,1,,
2,1,,
2,1,,
2,1,,
2,1,,
2,1,,
2,1,,
2,1,,
2,1,,
2,1,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,