"","regio","year","type","duration","max_freq","min_freq","concavity"
"225","nova",2005,"mo6",0.150333,5875.26667,2346.4,3
"226","nova",2005,"mo6cc",0.169,4700.5,2709.7,5
"227","nova",2005,"mo1ppp3",0.195,6539.1,2573.9,12
"228","newf",2005,"mo18",0.1888889,5171.0777777,2045.488889,6
"229","newf",2005,"mo18a",0.2171667,5287.1527778,2652.2916667,8
"230","newf",2005,"mo18b",0.2212424,5600.939394,2383.3939394,7
"231","newf",2005,"mo18c",0.127,5321.1,2785.95,5
"232","newf",2005,"mo18d",0.209,5490.1133334,2145.5,7
"233","newf",2005,"mo18d1",0.2553333,5222.833333,2010.4,10
"234","newf",2005,"mo18dd",0.2383333,7002.5833335,2337.65,9
"235","newf",2005,"mo18e",0.2575,7371.9555557,2147.5944445,9
"236","newf",2005,"mo18ee",0.2460667,6889.8466668,2303.84,11
"237","newf",2005,"mo18f",0.157,4711.3,1884.5,6
"238","newf",2005,"mo18g",0.217,7233.488889,2522.411111,9
"239","newf",2005,"mo18g1",0.2413333,5477.7166665,2178.766667,9
"240","newf",2005,"mo18h",0.2330556,6067.3833333,2417.9666665,10
"241","newf",2005,"mo18hh",0.241619,5371.3238094,2216.8714284,10
"242","newf",2005,"mo18i",0.2286,5908.6044444,2285.9177779,9
"243","newf",2005,"mo18i_1",0.21,5637.2133333,2171.7044444,7
"244","newf",2005,"mo18ii",0.247,6509.2,2288.7,10
"245","newf",2005,"mo18j",0.2374444,6279.911111,2602.5888887,7
"246","newf",2005,"mo18jj",0.194,6550.6,2390.566667,5
"247","newf",2005,"mo18jjj",0.2926667,6300.533333,2259.066667,9
"248","newf",2005,"mo18k",0.271,8312.85,2106.15,13
"249","newf",2005,"mo18l",0.2466667,6136.5,2258.833333,11
"250","newf",2005,"mo18m",0.2076667,5527.266667,2493.5,5
"251","newf",2005,"mo18o",0.0686667,4638.266667,2808.533333,6
"252","newf",2005,"mo91b3",0.1455,5095,2195.55,6
"253","newf",2005,"mo92b",0.0785,4914.9,3191.5,2
"254","newf",2005,"mo1o",0.075,4660.9,2643.5,4
"255","west",2019,"mo1",0.1526667,5588.166667,2742.4,8
"256","west",2019,"mo16a",0.186,5104.6,1804.533333,5
"257","west",2019,"mo16b",0.2296667,5497.4,1931.45,8
"258","west",2019,"mo16b1",0.2045833,5645.4583333,1916.875,7
"259","west",2019,"mo16b1conn",0.2,6450,1850,7
"260","west",2019,"mo16b3",0.2063333,6001.166667,1837.5,9
"261","west",2019,"mo16b4",0.2483333,5967.1833335,2020.1,11
"262","west",2019,"mo16bb",0.1675758,4579.5878787,1893.7242424,7
"263","west",2019,"mo16bb4",0.1944444,4534.8555553,1754.3222223,9
"264","west",2019,"mo16c",0.1518095,4761.1476191,1850.5619047,6
"265","west",2019,"mo24",0.2074,6537.7600001,2347.1333332,4
"266","west",2019,"mo24-2",0.2275,6750.125,2087.075,6
"267","west",2019,"mo24a",0.1896212,6586.6590909,2525.8075759,2
"268","west",2019,"mo24as",0.1756667,7466.066667,2897.033333,4
"269","west",2019,"mo24b",0.2286667,6405.5,2393.633333,8
"270","west",2019,"mo24intro",0.239,6805.566667,2468.133333,4
"271","west",2019,"mo24intro2",0.1956667,6809.266667,2318.633333,7
"272","west",2019,"mo24introa",0.2214,5635.82,2041.1733334,6
"273","west",2019,"mo30-1",0.09,5433.2,3057.266667,4
"274","west",2019,"mo6",0.1201304,5796.2615942,3334.1630435,3
"275","west",2019,"mo6a",0.1814444,5130.3777778,2293.2333333,7
"276","west",2019,"mo6b1",0.1614318,5303.6492424,2352.1901516,5
"277","west",2019,"mo6c",0.19,5992.2,2735.2,7
"278","west",2019,"mo6cc",0.1366667,6160.3,3475.5,5
"279","west",2019,"mo6cc3",0.1662222,6227.388889,3141.3666663,6
"280","west",2019,"mo6d",0.146,4116.666667,2237.5,3
"281","west",2019,"mo6e",0.1310702,6305.3491227,2805.5561404,4
"282","west",2019,"mo6e3",0.13375,5450.2666665,2712.55,6
"283","west",2019,"mo6f",0.143,6186.933333,2923.833333,6
"284","west",2019,"mo6g",0.1825,4754.983333,1927.8,5
"285","west",2019,"mo6gg",0.1489286,5376.4000001,2525.2976189,5
"286","west",2019,"mo6rev2",0.162,7543.866667,4197.566667,8
"287","west",2019,"mo78",0.154,6399.7,1570.8,6
"288","west",2019,"mo78_3_2",0.191,6566,1617,12
"289","west",2019,"mo78-1",0.1531818,6333.7272727,1836.8272727,8
"290","west",2019,"mo78a",0.1445,6951.15,1760.75,4
"291","west",2019,"mo78a0",0.06,7053.6,3615.7,3
"292","west",2019,"mo78a02",0.08,6841,2626.5,5
"293","west",2019,"mo79a",0.13,6505.3,2622,4
"294","west",2019,"mo79asplit",0.132,6756.45,2097.7,4
"295","west",2019,"mo79bb",0.1532727,7289.2318182,1995.9681818,3
"296","west",2019,"mo79c",0.096175,4041.1425,2000.235,3
"297","west",2019,"mo79v",0.1011053,7359.2315789,2881.2684211,4
"298","west",2019,"mo80",0.167,3156.4,1778.2,7
"299","west",2019,"mo87a4",0.182,4281,1642,5
"300","west",2019,"mo90",0.1280377,4477.6207547,1768.8830189,5
"301","west",2019,"mo90-2chev",0.1258333,4835.9166667,1954.0333333,5
"302","west",2019,"mo90a",0.1193333,3959.2,1728.1333333,3
"303","west",2019,"mo90b",0.1186667,3699.3666667,1745.2,3
"304","west",2019,"mo90b3",0.128,3590.7,1820.6,5
"305","west",2019,"mo91",0.1591579,4036.6842105,1907.0052632,6
"306","west",2019,"mo91b12",0.187,4253.5,1662.3,4
"307","west",2019,"mo91b1s",0.167,3621.24,1696.48,10
"308","west",2019,"mo91b2",0.1401111,4306.611111,1853.4333333,4
"309","west",2019,"mo91b4",0.156,3440.15,1747.7,8
"310","west",2019,"mo91b5",0.1483333,4146.7,1937.6,6
"311","west",2019,"mo91b5s",0.157,4231.1,1982.6,6
"312","west",2019,"mo91brokes",0.1472222,4638.9,1954.4666667,6
"313","west",2019,"mo91bs",0.1436667,4405.4333333,1822.7,4
"314","west",2019,"mo91slash",0.1615,4087.6136364,1831.5772727,8
"315","west",2019,"mo92",0.1470833,4084.6583333,1957.425,4
"316","west",2019,"mo93a1",0.0685,4723.45,3134.35,2
"317","west",2019,"mo93aaamo6",0.159625,4656.1083333,2103.7333334,5
"318","west",2019,"mo98-1a1",0.1919167,5667.4166667,2138.1833335,5
"319","west",2019,"mo98-2",0.15,3731.45,1794.9,2
"320","west",2019,"mo98a-1",0.155,3717,1827,1
"321","west",2019,"mo98a-1_1",0.125,3446.8,1558.1,3
"322","west",2019,"mo98a-1_2",0.1245,3841.65,1973.45,3
"323","west",2019,"mo6z",0.077,5560.4,3770.9,5
"324","west",2019,"mo91slashs",0.15,3962.6,1853.5,8
"325","west",2019,"mo1side2",0.118,5816.1,3579.1,7
"326","west",2019,"mo6gib",0.181,4985.2,3579.1,8
"327","west",2019,"mo24slant",0.066,5496.5,2620.4,0
"328","east",2019,"mo1",0.2083495,6042.7907609,2649.8082438,8
"329","east",2019,"mo16c",0.1395,4513.85,1904.05,6
"330","east",2019,"mo1aa",0.2741667,5896.983333,2531.9666665,12
"331","east",2019,"mo1aaa",0.2304074,6110.2814816,2628.6518519,10
"332","east",2019,"mo1aaaswan",0.2633333,6023.1583335,2294.9166665,11
"333","east",2019,"mo1b",0.2243571,6162.9015872,2714.9769841,10
"334","east",2019,"mo1b5low",0.209,6609.066667,2924.433333,12
"335","east",2019,"mo1c",0.1951111,6242.1583333,3066.6666667,8
"336","east",2019,"mo1d",0.1678889,6825.8722222,3583.2499998,9
"337","east",2019,"mo1dd",0.1756667,7417.866667,3189.533333,11
"338","east",2019,"mo1g",0.1498333,7231.75,3348.8833335,7
"339","east",2019,"mo1g1",0.1481667,7076.3,3629.6,7
"340","east",2019,"mo1gtent",0.164,6998.466667,3082.633333,6
"341","east",2019,"mo1h",0.112,6623.1,3190.4,5
"342","east",2019,"mo1h31",0.1293333,7744.733333,3979.066667,5
"343","east",2019,"mo1i",0.1482619,6894.0869047,3668.5142856,7
"344","east",2019,"mo1j",0.1761111,6136.5722222,2878.0611112,6
"345","east",2019,"mo1j1",0.1992821,5776.0589744,2526.9987178,7
"346","east",2019,"mo1j3",0.1785,5413.8,1917.4,4
"347","east",2019,"mo1j3_2",0.1966667,6262.5333335,2500.1333335,6
"348","east",2019,"mo1j3_2a",0.217,4783.9,1979.6,6
"349","east",2019,"mo1jd",0.126,4838.9,1759.6,8
"350","east",2019,"mo1jj",0.265,4934.3,2107.3,11
"351","east",2019,"mo1jswan",0.2402424,5614.8378788,2188.3181817,9
"352","east",2019,"mo1l",0.174,6526.6,3741.5,13
"353","east",2019,"mo1m",0.1842857,6237.5095239,2765.5619047,6
"354","east",2019,"mo1m3",0.2243333,6141.1666665,2365.9166665,8
"355","east",2019,"mo1m3low",0.2525,6061.1,1959.4,8
"356","east",2019,"mo1side",0.1770556,6741.788889,3469.211111,9
"357","east",2019,"mo1side1top",0.1443333,6177,3680.933333,7
"358","east",2019,"mo1side2",0.1573333,5993.7666665,3001.85,7
"359","east",2019,"mo1side4",0.2016667,6792.2,3529.7,11
"360","east",2019,"mo1sidetop1",0.1305,6560.95,3642.8,7
"361","east",2019,"mo91brokes",0.148,3978.6,1773.6,6
"362","east",2019,"mo92b",0.128,4069.1,1814.6,2
"363","east",2019,"mo93a1",0.046,2803,2055.5,0
"364","east",2019,"mo93a1a",0.149,4130.7,1861.7,4
"365","east",2019,"mo93aaaw",0.113,3532.5666667,1638,3
"366","east",2019,"mo98-0",0.058,2897.9857143,1681.4428571,0
"367","east",2019,"mo98-1",0.1418,4105.82,1736.72,3
"368","east",2019,"mo98-2",0.1002984,4090.2895161,1919.5758065,2
"369","east",2019,"mo98-2aaa",0.1018,4117.993,1897.054,2
"370","east",2019,"mo98-3tent",0.16,6944.533333,2326.1,5
"371","east",2019,"mo98-a1",0.141,4058.85,1716.95,3
"372","east",2019,"mo98a-1",0.1347407,3745.3925926,1818.6037037,1
"373","east",2019,"mo98a-2",0.0906667,3108.4333333,1640.6,1
"374","east",2019,"mo98a-3",0.1165,3468.6,1810.2,4
"375","east",2019,"mo98a-3m1",0.208,4563.5,2019.2,3
"376","east",2019,"mo98-2aaacut",0.072,4725,2310,1
"377","east",2019,"mo98b2",0.083,3519.4,1939.3,3
"378","east",2019,"mo99a",0.1135,3515.65,1378.1,4
"379","east",2019,"mo98a-2tents",0.15975,4695,1952.5,7
"380","east",2019,"mo1h1",0.113,6730.4,3397.2,3
"381","east",2019,"mo1j2_3",0.251,6217.6,1987.1,8
"382","east",2019,"mo1o4",0.162,6263.5,2940,6
"383","east",2019,"mo24intro",0.243,6902.6,2300.9,4
"384","east",2019,"mo24intro2",0.195,7286.1,2428.7,9
"385","east",2019,"mo93aaaa",0.232,4537.8,1981.3,8
"386","nova",2019,"mo1p40",0.2063333,5814.0444447,2176.422222,7
"387","nova",2019,"mo1pp",0.2228056,5567.0111112,2019.3805555,9
"388","nova",2019,"mo1pp2",0.2576667,6325.666667,1976.766667,11
"389","nova",2019,"mo1pp3",0.242,5741.733333,1938.966667,9
"390","nova",2019,"mo1ppp",0.2533333,6704.166667,2168.1,13
"391","nova",2019,"mo1ppp10",0.184,5872.433333,2311.1,5
"392","nova",2019,"mo1ppp11",0.2053333,6423.133333,2374.133333,7
"393","nova",2019,"mo1ppp7",0.2395,6484.8111112,2286.8555557,12
"394","nova",2019,"mo1ppp8",0.245,6556.533333,2436.066667,11
"395","nova",2019,"mo1ppp9",0.2251667,6802.233333,2216.65,8
"396","nova",2019,"mo1pppppp",0.2278333,5844.3,2114.9666665,7
"397","nova",2019,"mo6cc1",0.177,5372.4,2851,9
"398","nova",2019,"mo6cc2",0.2205,5762.95,2080.575,8
"399","nova",2019,"mo6cc3",0.1876667,5738.833333,2363.066667,6
"400","nova",2019,"mo6e",0.131,6293.233333,3075.633333,4
"401","nova",2019,"mo1p41",0.192,5943.9,2300.9,7
"402","nova",2019,"mo1p40a",0.125,6007.8,2812.2,5
"403","nova",2019,"mo18jj3",0.159,4985.2,2045.2,5
"404","newf",2019,"mo18",0.1943333,6321.6,2172.6,6
"405","newf",2019,"mo18jr2",0.295,7250.1,3295.5,3
"406","newf",2019,"mo18a",0.2210667,5786.64,2200.58,8
"407","newf",2019,"mo18b",0.2234242,5799.0484847,2345.6484848,7
"408","newf",2019,"mo18b1",0.2298788,5368.3530303,2282.5734849,7
"409","newf",2019,"mo18b2",0.22775,5095.3083335,2224.6833335,9
"410","newf",2019,"mo18c",0.101,7428.2,4222.3,3
"411","newf",2019,"mo18d1",0.2604444,5885.9444443,2057.622222,10
"412","newf",2019,"mo18d2",0.218,6986.1333335,2701.0666665,7
"413","newf",2019,"mo18d3",0.2468667,6478.26,2482.9199998,9
"414","newf",2019,"mo18e",0.2423333,7016.9,2183.2333335,9
"415","newf",2019,"mo18e1",0.2726667,6989.566667,1593,10
"416","newf",2019,"mo18ee",0.2373333,6418.6857143,2142.2619049,9
"417","newf",2019,"mo18ee1",0.2413333,6974.666667,2220.633333,11
"418","newf",2019,"mo18ee2",0.2303333,6524.166667,1995.833333,11
"419","newf",2019,"mo18f",0.167,5240.4,2611.866667,6
"420","newf",2019,"mo18g",0.2563333,6811.866667,2265.866667,9
"421","newf",2019,"mo18h",0.2278333,4584.5833335,2255.033333,10
"422","newf",2019,"mo18hh",0.2378889,5426.5833333,2213.9222222,10
"423","newf",2019,"mo18i",0.2267143,5988.761905,2160.3714286,9
"424","newf",2019,"mo18i_1",0.2233333,5596.766667,1904.933333,6
"425","newf",2019,"mo18i1x",0.191,6426.9,2351.3,5
"426","newf",2019,"mo18i2x",0.2214815,6943.274074,2500.2185186,9
"427","newf",2019,"mo18j",0.2056667,6711.533333,2507.1,7
"428","newf",2019,"mo18jj1",0.207,5777.1,1999.2,6
"429","newf",2019,"mo18jj2",0.2036667,6782.066667,2438.866667,5
"430","newf",2019,"mo18jjj",0.2216667,7063.0333335,2716.5833335,9
"431","newf",2019,"mo18k",0.2723333,7004.5,2402.866667,13
"432","newf",2019,"mo18k1",0.125,4163.6,2166.8,8
"433","newf",2019,"mo18k3",0.2891667,7019.3166665,2558.033333,11
"434","newf",2019,"mo18k4",0.3663333,6627.733333,NA,13
"435","newf",2019,"mo18m1",0.1936667,6217.966667,2690.6,5
"436","newf",2019,"mo6cc",0.1953333,5239.666667,2435.133333,5
"437","newf",2019,"mo6h1",0.1506667,3902.4333333,2458.3,5
"438","newf",2019,"mo91b3",0.1806667,5016,2326.75,6
"439","newf",2019,"mo91b5",0.1575,5282.25,2302.5,6
"440","newf",2019,"mo18hh1",0.225,5688.3,2364.8,9
"441","newf",2019,"mo19",0.119,5113,2428.7,6
"442","newf",2019,"mo88",0.091,5496.5,2812.2,6
